Crop,Yield,Demand_Score,Supply_Score,Yield_log,Yield_norm,Demand_norm,Supply_norm,Total_Score
Coconut ,8789.169855371902,76.63028925619834,80.16304752066115,9.081389314198086,0.9999999999999999,1.0,1.0,1.0
Sugarcane,55.61403091557669,50.38207811213756,41.927281624439765,4.036256850522916,0.43777199049718013,0.6574695019575741,0.5230250460928829,0.5597522173196189
Banana,29.141262748907238,47.74539339485187,35.762217095677514,3.4058950884357695,0.36752466967524566,0.6230616360486976,0.4461184822902372,0.501176981270623
Tapioca,18.94752685765443,44.94637421665175,30.9009400179051,2.993105168616459,0.3215234880147393,0.5865353589672925,0.3854761136662216,0.4531092866563535
Potato,13.608037176050045,43.704773190348526,32.31029490616622,2.6815718687597005,0.2868063129289698,0.5703328750884679,0.40305721782643794,0.44671729975175634
Onion,12.668451942132382,41.17241854934601,29.045950059453034,2.6150903994169794,0.2793976384399451,0.5372864822641359,0.36233590111412317,0.41572848103929266
Jute,9.390915271966527,41.522468619246865,29.83132322175732,2.340931892854639,0.24884549881970483,0.5418545202201265,0.37213309803458533,0.4153641470658257
Rice,2.069356728465128,43.84731365872115,30.348111993946272,1.1214680049417305,0.11294881834634403,0.5721929811869333,0.37857981866425894,0.4028988836097457
Wheat,2.2275381662351577,42.05376484242478,28.787723417552,1.1717196689933453,0.11854884832719467,0.5487877606963778,0.359114633336916,0.3868707272787565
Sweet potato,9.24930935464772,37.380511545293075,24.27429484902309,2.3272103232799117,0.24731637132804854,0.48780334653727675,0.30281152725345994,0.3657092237819044
Maize,2.283180163664382,39.12557946755938,24.67232823210585,1.1888125147671176,0.12045366980122316,0.5105759073510826,0.307776824798818,0.3514318268202049
Oilseeds total,1.6007832898172325,41.38436031331593,21.971827676240206,0.9558126649704741,0.09448823822756026,0.5400522523796751,0.27408922634306293,0.3445542391346073
Ginger,6.678468529879573,35.85365825948648,21.65447171097478,2.0384201171027985,0.21513367960451144,0.46787841475603476,0.2701303453488788,0.3382302399628677
Cotton(lint),2.1105464030752334,37.90440032948929,22.845673805601315,1.134798403066206,0.114434353811937,0.49463992237799553,0.284990085983359,0.33473887410692926
Arecanut,2.3729789666209418,38.076844993141286,21.220832190214907,1.2157963202524635,0.12346073678233188,0.49689026836162425,0.2647208763457436,0.32933660523941355
Mesta,5.33344320066335,33.64916252072968,21.499444444444446,1.8458440378210257,0.1936730605797382,0.43911047246905605,0.2681964459859538,0.3216573794979516
Bajra,2.5695570064588598,35.60915613591688,21.171835158663296,1.2724415002653664,0.12977325821479863,0.4646877426870287,0.26410965916941326,0.31747361238553656
Barley,1.9236222487630097,35.624842177102884,20.879965876130353,1.0728233436522678,0.10752787225887687,0.464892440350815,0.2604687137268424,0.31165003608283837
Garlic,4.1850118694362015,34.02583580613254,19.895905044510386,1.6457721308661803,0.17137710882533877,0.44402593460627343,0.24819297244634358,0.3111629845861146
Groundnut,1.2713713925365382,35.164019586022704,20.26947918985088,0.8203837867569033,0.0793960857071982,0.458878857529282,0.252853151380337,0.3005720207052872
Jowar,1.0275795269168027,35.2930437737901,20.450236541598695,0.7068427303648448,0.0667431053163419,0.46056258062389316,0.25510802263758586,0.29961686236786
Soyabean,1.058165925626516,34.70800525464834,19.882035165723526,0.7218152588589053,0.06841163928508287,0.45292802091101253,0.24801995159426976,0.2940615168591295
Cashewnut,6.762511125238398,33.7218944691672,14.639567705022252,2.0493058804615845,0.21634678572396318,0.4400596004071531,0.1826223947043563,0.2923421551893964
