Crop,Yield,Demand_Score,Supply_Score,Yield_log,Yield_norm,Demand_norm,Supply_norm,Total_Score
Sugarcane,55.61403091557669,50.38207811213756,41.927281624439765,4.036256850522916,0.43777199049718013,0.6574695019575741,0.5230250460928829,49.938420287203876
Banana,29.141262748907238,47.74539339485187,35.762217095677514,3.4058950884357695,0.36752466967524566,0.6230616360486976,0.4461184822902372,36.70878824672171
Tapioca,18.94752685765443,44.94637421665175,30.9009400179051,2.993105168616459,0.3215234880147393,0.5865353589672925,0.3854761136662216,30.333205013428824
Potato,13.608037176050045,43.704773190348526,32.31029490616622,2.6815718687597005,0.2868063129289698,0.5703328750884679,0.40305721782643794,28.24773529937444
Jute,9.390915271966527,41.522468619246865,29.83132322175732,2.340931892854639,0.24884549881970483,0.5418545202201265,0.37213309803458533,25.162503661087865
